participant,run,trial_index,condition,r_cert,r_uncert,probability,odds,raw_action,choice_uncertain,rt_seconds,choice_included,rt_included
2rrjzhgj9,A,1,L,-1.0,-1.3,0.25,3.0,2.0,1.0,2.3519000000954002,True,True
2rrjzhgj9,A,2,L,-20.0,-200.0,0.25,3.0,1.0,0.0,2.6107999999522997,True,True
2rrjzhgj9,A,3,L,-50.0,-1550.0,0.25,3.0,1.0,0.0,2.9243999998569,True,True
2rrjzhgj9,A,4,L,-10.0,-21.110000000000003,0.9,0.11111111111111108,1.0,0.0,2.4524000000954,True,True
2rrjzhgj9,A,5,L,-1.0,-1.01,0.9,0.11111111111111108,2.0,1.0,2.7897000000476995,True,True
2rrjzhgj9,A,6,L,-1.0,-1.33,0.9,0.11111111111111108,2.0,1.0,2.0128999998569,True,True
2rrjzhgj9,A,7,L,-20.0,-26.0,0.25,3.0,2.0,1.0,2.8524000000954,True,True
2rrjzhgj9,A,8,L,-10.0,-10.33,0.75,0.3333333333333333,2.0,1.0,1.9012999999523,True,True
2rrjzhgj9,A,9,L,-5.0,-6.5,0.25,3.0,2.0,1.0,2.444,True,True
2rrjzhgj9,A,10,L,-50.0,-500.0,0.25,3.0,1.0,0.0,1.9362999999522998,True,True
2rrjzhgj9,A,11,L,-20.0,-80.0,0.5,1.0,1.0,0.0,2.3729000000954,True,True
2rrjzhgj9,A,12,L,-5.0,-21.67,0.75,0.3333333333333333,1.0,0.0,1.8927000000477001,True,True
2rrjzhgj9,A,13,L,-20.0,-26.67,0.9,0.11111111111111108,1.0,0.0,2.0834000000954003,True,True
2rrjzhgj9,A,14,L,-10.0,-13.33,0.75,0.3333333333333333,2.0,1.0,2.109,True,True
2rrjzhgj9,A,15,L,-5.0,-155.0,0.25,3.0,1.0,0.0,2.4055999999045996,True,True
2rrjzhgj9,A,16,L,-20.0,-22.22,0.9,0.11111111111111108,1.0,0.0,2.0422000000477003,True,True
2rrjzhgj9,A,17,L,-10.0,-20.0,0.5,1.0,2.0,1.0,2.6436000001431,True,True
2rrjzhgj9,A,18,L,-50.0,-50.56,0.9,0.11111111111111108,1.0,0.0,2.2037000000476996,True,True
2rrjzhgj9,A,19,L,-50.0,-200.0,0.25,3.0,1.0,0.0,2.3802999999523,True,True
2rrjzhgj9,A,20,L,-5.0,-5.17,0.75,0.3333333333333333,2.0,1.0,3.286,True,True
2rrjzhgj9,A,21,L,-50.0,-100.0,0.5,1.0,2.0,1.0,4.2431000001431,True,True
2rrjzhgj9,A,22,L,-5.0,-55.0,0.5,1.0,1.0,0.0,2.5730999999046,True,True
2rrjzhgj9,A,23,L,-1.0,-1.11,0.9,0.11111111111111108,2.0,1.0,2.1080999999045997,True,True
2rrjzhgj9,A,24,L,-1.0,-4.0,0.25,3.0,2.0,1.0,2.8292999999523,True,True
2rrjzhgj9,A,25,L,-50.0,-55.0,0.5,1.0,2.0,1.0,1.4217000000477,True,True
2rrjzhgj9,A,26,L,-5.0,-50.0,0.1,9.0,1.0,0.0,2.2605999999046,True,True
2rrjzhgj9,A,27,L,-20.0,-38.0,0.1,9.0,2.0,1.0,1.8917999999522999,True,True
2rrjzhgj9,A,28,L,-5.0,-6.67,0.9,0.11111111111111108,2.0,1.0,2.1732000000476996,True,True
2rrjzhgj9,A,29,L,-50.0,-100.0,0.75,0.3333333333333333,1.0,0.0,3.0597000000476995,True,True
2rrjzhgj9,A,30,L,-50.0,-105.56,0.9,0.11111111111111108,1.0,0.0,2.2922999999523,True,True
2rrjzhgj9,A,31,L,-5.0,-6.67,0.75,0.3333333333333333,2.0,1.0,2.6523999998569003,True,True
2rrjzhgj9,A,32,L,-20.0,-86.66999999999999,0.75,0.3333333333333333,1.0,0.0,2.6200999999045997,True,True
2rrjzhgj9,A,33,L,-50.0,-95.0,0.1,9.0,2.0,1.0,1.7398999998568998,True,True
2rrjzhgj9,A,34,L,-10.0,-10.11,0.9,0.11111111111111108,1.0,0.0,2.8295999999046,True,True
2rrjzhgj9,A,35,L,-5.0,-20.0,0.25,3.0,2.0,1.0,3.3960999999046,True,True
2rrjzhgj9,A,36,L,-1.0,-31.0,0.25,3.0,1.0,0.0,2.1474000000954003,True,True
2rrjzhgj9,A,37,L,-20.0,-80.0,0.25,3.0,1.0,0.0,2.6045999999046,True,True
2rrjzhgj9,A,38,L,-1.0,-2.11,0.9,0.11111111111111108,1.0,0.0,3.0919000000954,True,True
2rrjzhgj9,A,39,L,-1.0,-1.9,0.1,9.0,2.0,1.0,2.5714000000954003,True,True
2rrjzhgj9,A,40,L,-10.0,-100.0,0.1,9.0,2.0,1.0,3.2589000000954003,True,True
2rrjzhgj9,A,41,L,-20.0,-20.67,0.75,0.3333333333333333,1.0,0.0,2.0682000000476997,True,True
2rrjzhgj9,A,42,L,-10.0,-13.33,0.9,0.11111111111111108,1.0,0.0,3.885,True,True
2rrjzhgj9,A,43,L,-10.0,-11.11,0.9,0.11111111111111108,1.0,0.0,2.5165999999046,True,True
2rrjzhgj9,A,44,L,-10.0,-13.0,0.25,3.0,2.0,1.0,2.9881999998093,True,True
2rrjzhgj9,A,45,L,-50.0,-51.67,0.75,0.3333333333333333,2.0,1.0,4.1491999998093005,True,True
2rrjzhgj9,A,46,L,-50.0,-66.66999999999999,0.75,0.3333333333333333,2.0,1.0,4.0034000000954,True,True
2rrjzhgj9,A,47,L,-5.0,-10.56,0.9,0.11111111111111108,2.0,1.0,2.133,True,True
2rrjzhgj9,A,48,L,-10.0,-20.0,0.75,0.3333333333333333,1.0,0.0,2.8575,True,True
2rrjzhgj9,A,49,L,-50.0,-500.0,0.1,9.0,2.0,1.0,2.0684000000954,True,True
2rrjzhgj9,A,50,L,-5.0,-5.56,0.9,0.11111111111111108,2.0,1.0,2.6439000000954,True,True
2rrjzhgj9,A,51,R,20.0,26.67,0.75,0.3333333333333333,2.0,1.0,3.303,True,True
2rrjzhgj9,A,52,R,50.0,200.0,0.5,1.0,2.0,1.0,2.7152000000476995,True,True
2rrjzhgj9,A,53,R,20.0,22.0,0.5,1.0,1.0,0.0,3.0196000001431,True,True
2rrjzhgj9,A,54,R,20.0,80.0,0.25,3.0,2.0,1.0,2.8916000001430997,True,True
2rrjzhgj9,A,55,R,20.0,620.0,0.25,3.0,2.0,1.0,2.5405,True,True
2rrjzhgj9,A,56,R,10.0,13.0,0.25,3.0,1.0,0.0,4.4279000000954,True,True
2rrjzhgj9,A,57,R,1.0,10.0,0.1,9.0,2.0,1.0,3.5813999998569,True,True
2rrjzhgj9,A,58,R,20.0,86.66999999999999,0.75,0.3333333333333333,2.0,1.0,9.7639000000954,True,True
2rrjzhgj9,A,59,R,50.0,55.0,0.5,1.0,1.0,0.0,2.7829000000954003,True,True
2rrjzhgj9,A,60,R,1.0,91.0,0.1,9.0,2.0,1.0,3.9059000000954,True,True
2rrjzhgj9,A,61,R,10.0,19.0,0.1,9.0,1.0,0.0,2.31,True,True
2rrjzhgj9,A,62,R,50.0,550.0,0.5,1.0,2.0,1.0,1.3535999999046,True,True
2rrjzhgj9,A,63,R,5.0,6.67,0.9,0.11111111111111108,2.0,1.0,2.3585999999046,True,True
2rrjzhgj9,A,64,R,50.0,66.66999999999999,0.75,0.3333333333333333,2.0,1.0,1.5849000000953999,True,True
2rrjzhgj9,A,65,R,10.0,11.0,0.5,1.0,2.0,1.0,1.8685,True,True
2rrjzhgj9,A,66,R,50.0,65.0,0.25,3.0,1.0,0.0,3.1320999999045998,True,True
2rrjzhgj9,A,67,R,5.0,20.0,0.5,1.0,2.0,1.0,2.988,True,True
2rrjzhgj9,A,68,R,50.0,200.0,0.25,3.0,1.0,0.0,2.1087999999523,True,True
2rrjzhgj9,A,69,R,5.0,140.0,0.1,9.0,1.0,0.0,2.0442999999522997,True,True
2rrjzhgj9,A,70,R,10.0,21.110000000000003,0.9,0.11111111111111108,2.0,1.0,3.0050999999046,True,True
2rrjzhgj9,A,71,R,10.0,10.33,0.75,0.3333333333333333,1.0,0.0,2.851,True,True
2rrjzhgj9,A,72,R,10.0,13.33,0.75,0.3333333333333333,1.0,0.0,2.3577000000476995,True,True
2rrjzhgj9,A,73,R,50.0,4550.0,0.1,9.0,2.0,1.0,3.2924000000954003,True,True
2rrjzhgj9,A,74,R,1.0,10.0,0.25,3.0,2.0,1.0,4.0288999998569,True,True
2rrjzhgj9,A,75,R,1.0,2.0,0.75,0.3333333333333333,2.0,1.0,9.914799999952299,True,True
2rrjzhgj9,A,76,R,5.0,50.0,0.25,3.0,1.0,0.0,3.0677000000476995,True,True
2rrjzhgj9,A,77,R,10.0,43.33,0.75,0.3333333333333333,0.0,,,False,False
2rrjzhgj9,A,78,R,50.0,500.0,0.25,3.0,2.0,1.0,2.8796000001430997,True,True
2rrjzhgj9,A,79,R,5.0,50.0,0.1,9.0,1.0,0.0,1.4592000000477001,True,True
2rrjzhgj9,A,80,R,20.0,220.0,0.5,1.0,2.0,1.0,1.2208999998568997,True,True
2rrjzhgj9,A,81,R,20.0,560.0,0.1,9.0,2.0,1.0,1.693,True,True
