participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
2rrjzhgj9,choice_only,True,135.2607404267565,True,6,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.4461226807313894,-1.0520801011786962,-1.0125380592691922,,,,
3lmzwis6r,choice_only,True,79.79649503624341,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.1396939392620737,-0.2514093674471938,1.6074475595406115,,,,
4f8msviwg,choice_only,True,109.6717983784623,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.29916212838318806,1.1775145446148516,0.46612678675979774,,,,
52b64k0rp,choice_only,True,144.12862579411532,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.9434800187502344,2.6657690362999715,-4.60517,,,,
5wlmihb4c,choice_only,True,134.12233715912177,True,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4.60517,-1.0123365767779258,-0.581633494668672,,,,
6owg3par9,choice_only,True,126.18151289481557,True,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.30433906781275466,-0.2895759652871475,1.2640136194376193,,,,
8py7pm5i0,choice_only,True,96.54592441991105,True,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-2.0888805454650115,-0.8956392414493752,-0.9736132855137198,,,,
95vrrzevd,choice_only,True,92.47024334602547,True,4,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-2.093136321328477,3.0374169489374028,0.0542150147355654,,,,
bh348lli7,choice_only,True,142.84583292084872,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,0.21416867250081664,-3.852659536964093,,,,
c0ry57ax9,choice_only,True,140.35687293472515,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.366809669123496,-4.112826383348213,,,,
ck5f3lx8c,choice_only,True,106.4422377524482,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.1304632382844093,-0.4050681468060249,0.793676350388953,,,,
ctdyczfpw,choice_only,True,63.75442492916543,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.1371734650152077,0.6115456219343938,1.7882393385222146,,,,
dasemqdsv,choice_only,True,125.98156345999445,True,18,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1084161698091388,-0.8983293927926228,-0.4353646548171881,,,,
derouhkrw,choice_only,True,113.45637682050209,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2939454887777707,-2.8578164583564716,0.4521262686401443,,,,
dm8t9csqy,choice_only,True,98.24215936765127,True,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0544573528862977,-1.4129377361105742,1.1720684320823949,,,,
eqi6zanpf,choice_only,True,49.49965268140004,True,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.6440310934371375,1.4089065046470044,1.3816783493910136,,,,
etxmnk1pg,choice_only,True,114.82518721886906,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4604939165248392,-1.8902712531003887,0.043835352589672555,,,,
goz8d3fp9,choice_only,True,94.16284422968131,True,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9835100587586675,-1.300933724694562,0.7544889334690122,,,,
hrqn8w6vu,choice_only,True,95.72907645450744,True,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.624450064229111,2.57373484974571,0.38082814253674324,,,,
ig1j8ozi9,choice_only,True,113.20429612401554,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.635384473760461,0.39817217401011995,0.004500766509941643,,,,
iogaivfgt,choice_only,True,83.69466392002278,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.11142661560070499,-1.1433910888395407,0.48941621321690404,,,,
ir0t9ca41,choice_only,True,116.79704965434074,True,19,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3592028979861532,-0.6930976899074286,0.014031535393041823,,,,
jtf46arcd,choice_only,True,93.5634156989221,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.466230502243248,-2.1537840411523375,0.3819330931278009,,,,
kimjztxjq,choice_only,True,98.86010040729879,True,2,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.601359126770536,-0.21526536585800446,0.44099177726351974,,,,
kqi5vqk0e,choice_only,True,64.01186441565814,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-0.6869745281652009,1.4202316683636562,,,,
ljm2sl8s0,choice_only,True,70.53633676307061,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.04187408837209897,-0.8862437542401356,1.4378482850078498,,,,
mu73zwng6,choice_only,True,110.13566371496304,True,19,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.57955940325941,0.7590960199425102,0.042546675599436645,,,,
n08qsd76x,choice_only,True,87.88750424125203,True,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3839013827550246,0.14088704973402943,0.6362383451984803,,,,
