generating_model,fit_type,fitted_model,parameter,boundary_rate,n_total,n_success,optimizer_failure_rate,bias,rmse,nrmse,calibration_intercept,calibration_slope,correlation,correlation_defined
M1,generating_full,M1,log_k_R,0.01,200,200,0.0,-0.07443784795689305,0.45809113191565654,0.07349589056160141,0.1772756077999977,0.8124388275439746,0.9402880390403925,True
M1,generating_full,M1,log_k_L,0.01,200,200,0.0,0.08508361089205753,0.3791570943487196,0.06791824700540401,0.07427553448407788,0.8712579450718065,0.948116925395702,True
M1,generating_full,M1,log_beta,0.01,200,200,0.0,0.11624037523888489,0.31589292722821255,0.03906042627377815,0.09510560035045522,0.9121453714487053,0.9751759534361029,True
M1,generating_full,M1,alpha,0.01,200,200,0.0,0.005653838336748886,0.048058877095122354,0.02589013135387,0.012271925194192,0.9904874284215691,0.9911995173785622,True
M1,generating_full,M1,delta_L,0.01,200,200,0.0,0.0048201915962652764,0.06015051517103334,0.05117305291177551,0.0036468779256242584,1.0065868753803984,0.9570057045075762,True
M1,generating_full,M1,log_b,0.01,200,200,0.0,0.43290262647046135,0.6451562524117893,0.14949508625272442,-0.461172906243911,0.812669091618947,0.8446940844218103,True
M1,generating_full,M1,log_sigma,0.01,200,200,0.0,-0.010651174090723801,0.052870680417980216,0.032692568999521554,-0.02701431863647539,0.9815289916783433,0.9799292637073304,True
M1,choice_only,choice_only,log_k_R,0.01,200,200,0.0,-0.13505782246129747,0.501984141717989,0.0805380610383822,0.1100100266529518,0.8173907192488787,0.9291001394996582,True
M1,choice_only,choice_only,log_k_L,0.01,200,200,0.0,-0.04472195234093002,0.46764392817974143,0.08376885543773381,-0.054399914919958665,0.8847194687648202,0.916810544151488,True
M1,choice_only,choice_only,log_beta,0.01,200,200,0.0,0.09795806338398284,0.3077200483048207,0.03804984291747199,0.07870724020940575,0.9199767242264297,0.9752404683419893,True
M2,generating_full,M2,log_k_R,0.015,200,200,0.0,-0.06732920441840012,0.4404169856693903,0.08245068409245,0.2295134744096837,0.7922548544336039,0.9403396392541313,True
M2,generating_full,M2,log_k_L,0.015,200,200,0.0,0.1313534589814258,0.3301491008412123,0.0699441201094102,0.15023645816170558,0.8700673601149634,0.9489194436410484,True
M2,generating_full,M2,log_beta,0.015,200,200,0.0,0.09445028149857838,0.2888080445861238,0.042146278768367525,0.08679946676117507,0.9494662055921053,0.9731697763026144,True
M2,generating_full,M2,alpha,0.015,200,200,0.0,0.007425580045845664,0.051142031204179705,0.027603599259505576,0.007100380087347715,1.0004753007514235,0.990282572964526,True
M2,generating_full,M2,delta_L,0.015,200,200,0.0,-0.0012795981547349,0.06532171952034137,0.05563257125812513,-6.22344207387699e-05,0.9930822997037949,0.949145426211796,True
M2,generating_full,M2,log_b,0.015,200,200,0.0,0.5898870786217651,0.8943223461399438,0.12926900529505422,-0.6720474380510749,0.8413351481675283,0.8999195804473261,True
M2,generating_full,M2,log_sigma,0.015,200,200,0.0,-0.005335364105477984,0.052968055815669955,0.03275947231469015,-0.027487920277985526,0.9748940189133386,0.9789402776338455,True
M2,choice_only,choice_only,log_k_R,0.015,200,200,0.0,-0.14053042637862068,0.48791687648345444,0.09134316240135022,0.1031780431644605,0.8294407944272969,0.9254253820112567,True
M2,choice_only,choice_only,log_k_L,0.015,200,200,0.0,-0.045641513471187035,0.3849936356469345,0.08156327254696641,-0.036405514156611564,0.9364477135511168,0.9213235201538694,True
M2,choice_only,choice_only,log_beta,0.015,200,200,0.0,0.05407174721719267,0.31038569393868815,0.04529514405043576,0.04902143410190544,0.9666425742325535,0.9667950499571812,True
M3,generating_full,M3,log_k_R,0.02,200,200,0.0,-0.14445386016926703,0.47569574566056094,0.07524274003929007,0.10227361232681989,0.8206088400603885,0.9445561193023486,True
M3,generating_full,M3,log_k_L,0.02,200,200,0.0,0.06378602126092044,0.38399574450612095,0.0730117083210174,0.04263730107747672,0.8718218380840551,0.9470054414263612,True
M3,generating_full,M3,log_beta,0.02,200,200,0.0,0.13466156959893258,0.3164939533418174,0.04337749244736863,0.11765333988204903,0.91461103343859,0.9726963498911334,True
M3,generating_full,M3,alpha,0.02,200,200,0.0,0.012255313456542223,0.0508906061762974,0.027330227861688136,0.01839804791734746,0.991211438340346,0.9906646643120495,True
M3,generating_full,M3,delta_L,0.02,200,200,0.0,-0.0014975122244903893,0.06803404262365349,0.05789142258720377,0.005910414103951557,0.9588833787125056,0.9414747078408483,True
M3,generating_full,M3,log_b,0.02,200,200,0.0,0.36247358730082296,0.5943499448579989,0.193240185233461,-0.9811411420028002,0.7114139333379638,0.7311022168561754,True
M3,generating_full,M3,log_sigma,0.02,200,200,0.0,-0.006175105465091808,0.05000925668254429,0.030947827532375887,-0.0008876535229387382,1.0059902394516995,0.9822413554046677,True
M3,choice_only,choice_only,log_k_R,0.02,200,200,0.0,-0.17816943941154434,0.4937407701200219,0.0780969952996991,0.023840764350092063,0.853121971356425,0.9401356755464352,True
M3,choice_only,choice_only,log_k_L,0.02,200,200,0.0,0.009484922077809125,0.4412735047953198,0.08390231632214196,-0.009862157566993227,0.8827412209437848,0.9271552060085607,True
M3,choice_only,choice_only,log_beta,0.02,200,200,0.0,0.12296184039753802,0.31869403215542613,0.04367902712477165,0.10696494862840362,0.9196884050192972,0.970925409149511,True
