generating_model,replicate,sample_kind,stage,run,fitted_model,seed
M1,0,nominal,simulate,A,,1763737639
M1,0,nominal,simulate,B,,3307956615
M1,0,nominal,fit,A,choice_only,3982671006
M1,0,nominal,fit,A,M1,1871304513
M1,0,nominal,fit,A,M2,4239885034
M1,0,nominal,fit,A,M3,3151156433
M1,1,nominal,simulate,A,,806159350
M1,1,nominal,simulate,B,,4173663173
M1,1,nominal,fit,A,choice_only,1962386933
M1,1,nominal,fit,A,M1,3784958090
M1,1,nominal,fit,A,M2,1624113537
M1,1,nominal,fit,A,M3,4110447791
M1,2,nominal,simulate,A,,2869313930
M1,2,nominal,simulate,B,,308951590
M1,2,nominal,fit,A,choice_only,2189342545
M1,2,nominal,fit,A,M1,57889867
M1,2,nominal,fit,A,M2,1448381224
M1,2,nominal,fit,A,M3,1747259931
M1,3,nominal,simulate,A,,2470307143
M1,3,nominal,simulate,B,,915554333
M1,3,nominal,fit,A,choice_only,2000673563
M1,3,nominal,fit,A,M1,2666064121
M1,3,nominal,fit,A,M2,1623956762
M1,3,nominal,fit,A,M3,2188462470
M1,4,nominal,simulate,A,,3202836479
M1,4,nominal,simulate,B,,820839849
M1,4,nominal,fit,A,choice_only,878138430
M1,4,nominal,fit,A,M1,3091997488
M1,4,nominal,fit,A,M2,2538597586
M1,4,nominal,fit,A,M3,167963324
M1,5,nominal,simulate,A,,231046632
M1,5,nominal,simulate,B,,3286787039
M1,5,nominal,fit,A,choice_only,792489761
M1,5,nominal,fit,A,M1,3436602085
M1,5,nominal,fit,A,M2,4145797901
M1,5,nominal,fit,A,M3,1626895084
M1,6,nominal,simulate,A,,2192196881
M1,6,nominal,simulate,B,,994108896
M1,6,nominal,fit,A,choice_only,2625511870
M1,6,nominal,fit,A,M1,1648185709
M1,6,nominal,fit,A,M2,3757923475
M1,6,nominal,fit,A,M3,36362741
M1,7,nominal,simulate,A,,1774972146
M1,7,nominal,simulate,B,,1331111613
M1,7,nominal,fit,A,choice_only,3113188905
M1,7,nominal,fit,A,M1,3741096506
M1,7,nominal,fit,A,M2,1778904957
M1,7,nominal,fit,A,M3,2776649508
M1,8,nominal,simulate,A,,1533514998
M1,8,nominal,simulate,B,,3936197741
M1,8,nominal,fit,A,choice_only,1441752657
M1,8,nominal,fit,A,M1,3298111193
M1,8,nominal,fit,A,M2,4129183908
M1,8,nominal,fit,A,M3,1247612695
M1,9,nominal,simulate,A,,415677982
M1,9,nominal,simulate,B,,1015869466
M1,9,nominal,fit,A,choice_only,1412052840
M1,9,nominal,fit,A,M1,1204707874
M1,9,nominal,fit,A,M2,1720443616
M1,9,nominal,fit,A,M3,2423155916
M1,10,nominal,simulate,A,,454535414
M1,10,nominal,simulate,B,,3820537262
M1,10,nominal,fit,A,choice_only,885713564
M1,10,nominal,fit,A,M1,662583270
M1,10,nominal,fit,A,M2,434957660
M1,10,nominal,fit,A,M3,2389010451
M1,11,nominal,simulate,A,,3025318471
M1,11,nominal,simulate,B,,1527787968
M1,11,nominal,fit,A,choice_only,1145171836
