generating_model,replicate,sample_kind,participant,run,fitted_model,fit_success,condition,run_b_rt_mlpd,n_rt,out_of_support_trial_fraction,n_in_support,n_out_of_support,in_support_rt_mlpd,out_of_support_rt_mlpd
M1,0,nominal,M1_nominal_0000,B,M1,True,R,-1.203755435277085,100,0.0,100,0,-1.203755435277085,
M1,0,nominal,M1_nominal_0000,B,M1,True,L,-1.2755498654864617,100,0.0,100,0,-1.2755498654864617,
M1,0,nominal,M1_nominal_0000,B,M2,True,R,-1.2011267591637174,100,0.0,100,0,-1.2011267591637174,
M1,0,nominal,M1_nominal_0000,B,M2,True,L,-1.2703330182946662,100,0.03,97,3,-1.2784175326428813,-1.008933721035708
M1,0,nominal,M1_nominal_0000,B,M3,True,R,-1.2030945388483145,100,0.01,99,1,-1.206325052560309,-0.8832736813608333
M1,0,nominal,M1_nominal_0000,B,M3,True,L,-1.2856807013263005,100,0.0,100,0,-1.2856807013263005,
M1,1,nominal,M1_nominal_0001,B,M1,True,R,-1.597813881760566,100,0.0,100,0,-1.597813881760566,
M1,1,nominal,M1_nominal_0001,B,M1,True,L,-1.9380567455742084,100,0.0,100,0,-1.9380567455742084,
M1,1,nominal,M1_nominal_0001,B,M2,True,R,-1.5964819311288385,100,0.0,100,0,-1.5964819311288385,
M1,1,nominal,M1_nominal_0001,B,M2,True,L,-1.9341712470595744,100,0.0,100,0,-1.9341712470595744,
M1,1,nominal,M1_nominal_0001,B,M3,True,R,-1.5951050374929383,100,0.0,100,0,-1.5951050374929383,
M1,1,nominal,M1_nominal_0001,B,M3,True,L,-1.9371686179409477,100,0.0,100,0,-1.9371686179409477,
M1,2,nominal,M1_nominal_0002,B,M1,True,R,-0.6658313931907294,100,0.01,99,1,-0.6709014130933055,-0.16389942283570635
M1,2,nominal,M1_nominal_0002,B,M1,True,L,-0.861587444644467,100,0.0,100,0,-0.861587444644467,
M1,2,nominal,M1_nominal_0002,B,M2,True,R,-0.6649283888874509,100,0.0,100,0,-0.6649283888874509,
M1,2,nominal,M1_nominal_0002,B,M2,True,L,-0.8592085809342858,100,0.0,100,0,-0.8592085809342858,
M1,2,nominal,M1_nominal_0002,B,M3,True,R,-0.6646400724107652,100,0.0,100,0,-0.6646400724107652,
M1,2,nominal,M1_nominal_0002,B,M3,True,L,-0.8609176509995526,100,0.0,100,0,-0.8609176509995526,
M1,3,nominal,M1_nominal_0003,B,M1,True,R,-1.3486321288837493,100,0.05,95,5,-1.362666703206256,-1.0819752167561107
M1,3,nominal,M1_nominal_0003,B,M1,True,L,-5.1749602722793675,100,0.31,69,31,-1.4146097488133516,-13.544772727735984
M1,3,nominal,M1_nominal_0003,B,M2,True,R,-1.3585994787332345,100,0.02,98,2,-1.3400428020020871,-2.2678766385594624
M1,3,nominal,M1_nominal_0003,B,M2,True,L,-802.6296274365038,100,0.31,69,31,-1.4088612036614512,-2585.991978083798
M1,3,nominal,M1_nominal_0003,B,M3,True,R,-1.3299297144236504,100,0.0,100,0,-1.3299297144236504,
M1,3,nominal,M1_nominal_0003,B,M3,True,L,-1.7614992538017764,100,0.14,86,14,-1.3665769436981725,-4.187450587295343
M1,4,nominal,M1_nominal_0004,B,M1,True,R,-0.8902550162883962,100,0.01,99,1,-0.8939762876279499,-0.5218491536725749
M1,4,nominal,M1_nominal_0004,B,M1,True,L,-0.8555290610647351,100,0.01,99,1,-0.8541393831360128,-0.9931071760082596
M1,4,nominal,M1_nominal_0004,B,M2,True,R,-0.8927019514374815,100,0.0,100,0,-0.8927019514374815,
M1,4,nominal,M1_nominal_0004,B,M2,True,L,-0.8590077649548127,100,0.0,100,0,-0.8590077649548127,
M1,4,nominal,M1_nominal_0004,B,M3,True,R,-0.8924140199841812,100,0.01,99,1,-0.8946910484986987,-0.6669881970469712
M1,4,nominal,M1_nominal_0004,B,M3,True,L,-0.8606492577789296,100,0.0,100,0,-0.8606492577789296,
M1,5,nominal,M1_nominal_0005,B,M1,True,R,-1.1208131131748147,100,0.0,100,0,-1.1208131131748147,
M1,5,nominal,M1_nominal_0005,B,M1,True,L,-1.5325213012995318,100,0.0,100,0,-1.5325213012995318,
M1,5,nominal,M1_nominal_0005,B,M2,True,R,-1.1218438043105754,100,0.0,100,0,-1.1218438043105754,
M1,5,nominal,M1_nominal_0005,B,M2,True,L,-1.5297035855569403,100,0.0,100,0,-1.5297035855569403,
M1,5,nominal,M1_nominal_0005,B,M3,True,R,-1.116989990393183,100,0.0,100,0,-1.116989990393183,
M1,5,nominal,M1_nominal_0005,B,M3,True,L,-1.5392158135747183,100,0.0,100,0,-1.5392158135747183,
M1,6,nominal,M1_nominal_0006,B,M1,True,R,-0.7286069331077498,100,0.0,100,0,-0.7286069331077498,
M1,6,nominal,M1_nominal_0006,B,M1,True,L,-1.2221784128159192,100,0.13,87,13,-1.2472450798576948,-1.0544245641517276
M1,6,nominal,M1_nominal_0006,B,M2,True,R,-0.7269861734125815,100,0.0,100,0,-0.7269861734125815,
M1,6,nominal,M1_nominal_0006,B,M2,True,L,-1.2241444816430436,100,0.03,97,3,-1.2194476849197762,-1.376007575695349
M1,6,nominal,M1_nominal_0006,B,M3,True,R,-0.7299671124233506,100,0.0,100,0,-0.7299671124233506,
M1,6,nominal,M1_nominal_0006,B,M3,True,L,-1.2224456900515144,100,0.01,99,1,-1.2169563371495706,-1.7658916273439484
M1,7,nominal,M1_nominal_0007,B,M1,True,R,-0.959610419481818,100,0.05,95,5,-0.970793254780906,-0.7471365487991479
M1,7,nominal,M1_nominal_0007,B,M1,True,L,-0.7697429781842554,100,0.0,100,0,-0.7697429781842554,
M1,7,nominal,M1_nominal_0007,B,M2,True,R,-0.9626854199586736,100,0.04,96,4,-0.9720076470985818,-0.7389519686008812
M1,7,nominal,M1_nominal_0007,B,M2,True,L,-0.7685819034776532,100,0.0,100,0,-0.7685819034776532,
M1,7,nominal,M1_nominal_0007,B,M3,True,R,-0.9589867435215499,100,0.0,100,0,-0.9589867435215499,
M1,7,nominal,M1_nominal_0007,B,M3,True,L,-0.770432310324158,100,0.0,100,0,-0.770432310324158,
M1,8,nominal,M1_nominal_0008,B,M1,True,R,-0.0060115847194743225,100,0.0,100,0,-0.0060115847194743225,
M1,8,nominal,M1_nominal_0008,B,M1,True,L,0.22187915698430952,100,0.01,99,1,0.23657548260264444,-1.233057079230845
M1,8,nominal,M1_nominal_0008,B,M2,True,R,-0.038310972384714044,100,0.0,100,0,-0.038310972384714044,
M1,8,nominal,M1_nominal_0008,B,M2,True,L,0.2289244944480017,100,0.0,100,0,0.2289244944480017,
M1,8,nominal,M1_nominal_0008,B,M3,True,R,-0.006395787471757532,100,0.0,100,0,-0.006395787471757532,
M1,8,nominal,M1_nominal_0008,B,M3,True,L,0.22075083230386355,100,0.0,100,0,0.22075083230386355,
M1,9,nominal,M1_nominal_0009,B,M1,True,R,-3929.218534323944,100,0.59,41,59,-1.1679196603940318,-6658.8808258698
M1,9,nominal,M1_nominal_0009,B,M1,True,L,-1.5994632234067665,100,0.12,88,12,-1.1785345766481785,-4.686273299636411
M1,9,nominal,M1_nominal_0009,B,M2,True,R,-230342746.36304256,100,0.6,40,60,-1.0151154641421771,-383904576.5949939
M1,9,nominal,M1_nominal_0009,B,M2,True,L,-8.478004052222238,100,0.14,86,14,-1.1836398973328126,-53.286241003685845
M1,9,nominal,M1_nominal_0009,B,M3,True,R,-90.20241644962492,100,0.54,46,54,-0.9949748301795731,-166.19394079211543
M1,9,nominal,M1_nominal_0009,B,M3,True,L,-1.1905992196125386,100,0.0,100,0,-1.1905992196125386,
M1,10,nominal,M1_nominal_0010,B,M1,True,R,-1.1213586678372862,100,0.0,100,0,-1.1213586678372862,
M1,10,nominal,M1_nominal_0010,B,M1,True,L,-1.3606907013284495,100,0.0,100,0,-1.3606907013284495,
M1,10,nominal,M1_nominal_0010,B,M2,True,R,-1.1211522127479112,100,0.0,100,0,-1.1211522127479112,
M1,10,nominal,M1_nominal_0010,B,M2,True,L,-1.362885821020763,100,0.0,100,0,-1.362885821020763,
M1,10,nominal,M1_nominal_0010,B,M3,True,R,-1.12606167430424,100,0.0,100,0,-1.12606167430424,
M1,10,nominal,M1_nominal_0010,B,M3,True,L,-1.364747353024504,100,0.0,100,0,-1.364747353024504,
M1,11,nominal,M1_nominal_0011,B,M1,True,R,-1.0817725553369242,100,0.04,96,4,-1.0928622052134747,-0.8156209582997102
M1,11,nominal,M1_nominal_0011,B,M1,True,L,-1.074064296691799,100,0.01,99,1,-1.0586358738669133,-2.6014781563555025
M1,11,nominal,M1_nominal_0011,B,M2,True,R,-1.0872021612230638,100,0.08,92,8,-1.0911999942863069,-1.0412270809957693
M1,11,nominal,M1_nominal_0011,B,M2,True,L,-1.0850840059946931,100,0.02,98,2,-1.094946695512303,-0.6018122196317984
M1,11,nominal,M1_nominal_0011,B,M3,True,R,-1.0786567091947632,100,0.0,100,0,-1.0786567091947632,
M1,11,nominal,M1_nominal_0011,B,M3,True,L,-1.0701136676371765,100,0.0,100,0,-1.0701136676371765,
M1,12,nominal,M1_nominal_0012,B,M1,True,R,-0.9840083528922492,100,0.0,100,0,-0.9840083528922492,
M1,12,nominal,M1_nominal_0012,B,M1,True,L,-1.1133251266347168,100,0.04,96,4,-1.1353444384010822,-0.5848616442419483
