generating_model,fitted_model,sample_kind,condition,out_of_support_trial_fraction,affected_participant_fraction,in_support_rt_mlpd,out_of_support_rt_mlpd
M1,M1,nominal,L,0.02825,0.505,-1.4093838522246336,-1.5657091322390941
M1,M1,nominal,R,0.0633,0.395,-1.2217670123663618,-127.9790988894326
M1,M1,stress,L,0.0062,0.3,-0.8592852959952545,-0.36126491930572324
M1,M1,stress,R,0.4422,0.84,-0.7054223794151023,-142.00528688589793
M1,M2,nominal,L,0.0289,0.46,-1.4089395573334773,-55.3495129131345
M1,M2,nominal,R,0.0678,0.42,-1.222471834514488,-4692113.5073684435
M1,M2,stress,L,0.0068,0.16,-0.8596138834971809,-6.985094229575326
M1,M2,stress,R,0.4754,0.84,-0.7291210822683135,-3078452.619091942
M1,M3,nominal,L,0.0066,0.17,-1.4073622934181425,-1.7556588736052845
M1,M3,nominal,R,0.05225,0.28,-1.2184349928149438,-16.819613055853065
M1,M3,stress,L,0.0,0.0,-0.8546304680873518,
M1,M3,stress,R,0.3914,0.84,-0.6793831336119687,-28.14952439147151
M2,M1,nominal,L,0.02815,0.385,-1.4839792866219312,-7.702848335721054
M2,M1,nominal,R,0.06645,0.45,-1.2262609609470914,-1905.2763929125567
M2,M1,stress,L,0.011,0.32,-0.8443009287519126,-0.857176593218591
M2,M1,stress,R,0.4618,0.84,-0.7040296824485924,-11749.95137876957
M2,M2,nominal,L,0.0291,0.415,-1.4653935534601947,-5.922917321513309
M2,M2,nominal,R,0.06895,0.465,-1.2269601664953733,-1977636.478700064
M2,M2,stress,L,0.0142,0.28,-0.8467707454599581,-2.4012076385619734
M2,M2,stress,R,0.4882,0.84,-0.7156830746600882,-542904.1756721642
M2,M3,nominal,L,0.01185,0.19,-1.5295118896043542,-25.170639827073632
M2,M3,nominal,R,0.05295,0.295,-1.2333383321281395,-3413.4289285659947
M2,M3,stress,L,0.0014,0.06,-0.8509584560050382,-2.6879595648681636
M2,M3,stress,R,0.4202,0.84,-0.8320032017514142,-13103.161294441592
M3,M1,nominal,L,0.0293,0.435,-1.4080086072903368,-1.4580048596785309
M3,M1,nominal,R,0.06335,0.405,-1.228146446541153,-19.861514615258884
M3,M1,stress,L,0.0106,0.42,-0.8531969942651445,-0.9853095313555238
M3,M1,stress,R,0.429,0.84,-0.6848700717819035,-281.61148146655444
M3,M2,nominal,L,0.02995,0.455,-1.408806427966394,-6.9556264182455525
M3,M2,nominal,R,0.0713,0.485,-1.2259531623509685,-151707.5340171123
M3,M2,stress,L,0.0052,0.26,-0.8515782488450419,-2.70234869976413
M3,M2,stress,R,0.4646,0.84,-0.7083279882807807,-4288260.318078889
M3,M3,nominal,L,0.0127,0.16,-1.4066776671762744,-1.468192592103327
M3,M3,nominal,R,0.05155,0.295,-1.2258000454542846,-12.504288221297143
M3,M3,stress,L,0.0,0.0,-0.8494909303166186,
M3,M3,stress,R,0.3862,0.84,-0.6732400352789351,-90.36405919980506
