generating_model,replicate,sample_kind,source_participant,truth_source,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
M1,0,nominal,2rrjzhgj9,run_a_map,0.4521103700704899,0.0723012301566854,-0.3486962228070354,0.8504582948703217,0.0077900569461503,-4.7343784975509875,-1.0589105464183062
M1,1,nominal,3lmzwis6r,run_a_map,1.164381982767911,0.0572089287362911,0.2370445544247464,1.019399091609713,0.3324606527031468,-4.389822647369406,-0.8658783414483303
M1,2,nominal,4f8msviwg,run_a_map,-0.333273063060833,-1.3722748644925606,-0.4949376504269561,0.5541355821838654,0.1921540163795153,-6.620128545846345,-1.3268918497447308
M1,3,nominal,52b64k0rp,run_a_map,2.3025850894122595,2.302585091956681,-2.6354864553871393,0.7052505383744884,0.0017488254506881,-2.633621766155249,-0.7949961148033567
M1,4,nominal,5wlmihb4c,run_a_map,2.0521217007409005,-0.2339256203762255,-0.4260509829256397,0.8056480230729212,-0.1207890649731444,-5.178916283799567,-1.2518622522656837
M1,5,nominal,6owg3par9,run_a_map,0.2256353855884241,-0.0522601205642137,1.212153108478453,0.6818394041668809,0.2440231428138188,-4.9992928300956585,-0.9027158597323208
M1,6,nominal,8py7pm5i0,run_a_map,1.2400661071266124,1.346162819279514,-0.5157809036572176,0.3460721682982509,0.237579419040841,-4.50297060283049,-0.8678393566146735
M1,7,nominal,95vrrzevd,run_a_map,1.011126523687007,-0.9763627005394372,0.8781098961260376,0.7750666930484075,-0.0979999171770704,-5.104395331460236,-1.2231762256950514
M1,8,nominal,bh348lli7,run_a_map,2.852540199891356,-3.2799661526087363,4.60517,-0.6240918522404056,-0.1905948486211279,-6.9491900472500525,-0.8834249326325534
M1,9,nominal,c0ry57ax9,run_a_map,2.8967246947453695,-0.4253849543640987,-2.2211685427686665,0.3658278500796847,0.1921033516908287,-4.404993127073829,-0.9331638366040054
M1,10,nominal,ck5f3lx8c,run_a_map,0.9837292590581878,0.0463466258237163,0.7904292376798765,0.7983349412759522,0.268362334481587,-4.979941325163674,-1.0870056117167304
M1,11,nominal,ctdyczfpw,run_a_map,0.3373987927588708,-1.560898863719939,0.6863325366576906,0.8116715528530465,-0.0867761668311808,-4.977496349488974,-1.0642786484066316
M1,12,nominal,dasemqdsv,run_a_map,1.7965055598565844,-0.4650844117793472,-0.1478256117165164,0.6495711099722514,0.0387247238012041,-5.2074643124087014,-1.0068874824294167
M1,13,nominal,derouhkrw,run_a_map,0.570891140582323,-0.0661742379447234,1.2630968448344502,0.8439315468144263,0.3152542113105466,-4.282676027178478,-0.882356912287125
M1,14,nominal,dm8t9csqy,run_a_map,2.235100302707544,-0.8668004373193915,0.4448193105865139,0.8704585934790375,0.1985576194461639,-5.874025373728569,-1.0218206498903013
M1,15,nominal,eqi6zanpf,run_a_map,1.4960471047661754,-1.8099453854965752,0.3096732300084854,1.197837378635353,0.0302598850796743,-5.524291808215487,-1.056722796704711
M1,16,nominal,etxmnk1pg,run_a_map,1.8333617569610123,-1.0571876996015137,-0.42902247381416,0.7691844699539829,0.2480400131629934,-5.938881242686244,-0.7913348261208002
M1,17,nominal,goz8d3fp9,run_a_map,1.9112038605602408,-0.5163467032798267,0.5521610284040037,0.964760505230326,0.144228549549357,-5.3199238742470305,-0.7307155080809146
M1,18,nominal,hrqn8w6vu,run_a_map,1.8159281678401291,1.781323872551721,-1.1930165709711995,0.6986151799604309,0.307435570827371,-4.582677819112497,-0.774754712287668
M1,19,nominal,ig1j8ozi9,run_a_map,3.7056743480077063,1.291343762305991,-0.096489346901454,0.7921542529837139,0.3111731105430464,-3.6166336594673183,-0.9740814315437832
M1,20,nominal,iogaivfgt,run_a_map,0.9865836316526462,0.3440473944030492,-0.3961200915064815,1.1702330659142788,0.1020063797764345,-5.225995952264226,-0.9422746003243808
M1,21,nominal,ir0t9ca41,run_a_map,-0.0293782164694883,-0.0503335626450362,-0.6547224780066918,0.4210784550214605,0.3170507152102979,-4.390835832588042,-0.7880670305451798
M1,22,nominal,jtf46arcd,run_a_map,1.360541563697797,-1.8098239539903307,-1.240550327701963,1.2321705374032303,-0.1286177013735122,-5.377703617182712,-0.8143284812751033
M1,23,nominal,kimjztxjq,run_a_map,1.7928252526734885,0.8755215365594013,-0.206058128797974,1.211282169270167,0.3621848265930009,-3.886947032478632,-0.8733312824724905
M1,24,nominal,kqi5vqk0e,run_a_map,2.8116239492459316,0.2927564054322387,0.1722197630895999,-0.1196811922511649,0.981377965254549,-4.552072697227182,-0.6197514477896037
M1,25,nominal,ljm2sl8s0,run_a_map,1.0353298757221134,-0.0206765170655861,0.7839689603417132,0.9860331097484216,0.0621618339826229,-4.367280099205335,-1.0857150015035966
M1,26,nominal,mu73zwng6,run_a_map,1.6056318285047968,0.4363916197616347,-0.5123437000616995,0.7230812712410015,0.146280246327437,-4.0478894438266195,-0.8328439703009963
M1,27,nominal,n08qsd76x,run_a_map,1.0309257882402327,0.7565964047315666,-0.3485543397250206,0.8850323877783284,0.3388301343920936,-4.67153984156938,-0.8867038562691124
M1,28,nominal,nvbinkqjq,run_a_map,1.3646804502039085,-0.578464659668974,-0.407793684652403,1.096750538471944,0.1805612680537571,-4.6265654896773105,-0.9261133987673466
M1,29,nominal,o7piq7dwr,run_a_map,3.4537123128767457,-0.116293831062226,-1.133279628488861,0.3359785163655984,0.182155684736053,-4.895723798712299,-1.185087392193487
M1,30,nominal,od96gfdym,run_a_map,2.259208562340344,-0.1997309030541222,-0.1738285186310459,0.6118830531231932,0.1776610755249577,-3.844725364389915,-0.7330208217641657
M1,31,nominal,omy06qkfz,run_a_map,3.4151019761502623,0.4068225670985687,-1.6008381745463296,0.4966519216735869,0.4512875820936433,-4.885850751772276,-0.7671150601975554
M1,32,nominal,orxx7nl6z,run_a_map,4.089901019579955,0.1221398975194003,-1.1124816052412958,-0.2359446683193691,0.0132319257051812,-4.988554424072053,-0.2747956073205935
M1,33,nominal,p5lejwwzi,run_a_map,-0.5231985471702968,-1.3028669592907085,-2.3352112027089236,0.6944505008232698,0.0466417721774664,-4.7873816005607885,-0.5351414398515211
M1,34,nominal,qhp782ect,run_a_map,2.0069701377214657,-1.8360621863431648,0.0067666434662081,0.871363073239228,0.0627512075546027,-6.353618000815235,-0.8931074118292295
M1,35,nominal,rncbe0zlg,run_a_map,-0.0551910665773594,-0.0506267109559323,0.7669501351111001,0.7756071874888553,0.2360709483813845,-4.968073113197819,-1.1908831719907422
M1,36,nominal,ru26ufirj,run_a_map,1.8866708626866064,-1.920071308200465,0.8920488137035647,0.5896859345627856,0.5435608808179214,-5.406159378119731,-0.4500905423211708
M1,37,nominal,rv0b4sx2y,run_a_map,-2.1429798723347067,1.6329794994587237,-0.9214070406101452,0.3426052269990428,0.1422725240228062,-5.5962167518830075,-0.8326153989809882
M1,38,nominal,s4xqtibhr,run_a_map,0.9545017816014014,0.7739601283470489,-1.5567112934188627,0.4272894397451272,0.3422816702532289,-3.6008015372853848,0.2903160368167066
M1,39,nominal,t0p3bj6ne,run_a_map,-0.4157962615995862,0.5369180028179575,0.5899904267999938,0.8582754747161047,0.3161442680548473,-4.022562196573852,-0.7705180160670694
M1,40,nominal,ta33uq804,run_a_map,2.0238648909315526,0.0933263111111588,-0.4042051393990895,0.9485198597955566,0.1869193503993204,-5.013807655652439,-1.108284258718326
M1,41,nominal,u3yyfob1i,run_a_map,0.3828646801134611,1.9196417537196333,-3.4821182700790247,0.7339782166780582,-0.1940554269007977,-3.4884967869716497,-0.8584106934490545
M1,42,nominal,uq15yb622,run_a_map,1.0899531249627086,0.6785786866842958,0.6032822366122742,1.1499090085740489,0.2536636765891292,-4.0674090616685445,-1.03989143273294
M1,43,nominal,vdnjz8uta,run_a_map,-0.1195165955438167,-0.7643348116410548,2.9428441028923253,0.7535436255476848,0.1365905287829135,-5.034374140494716,-1.1086552103049616
M1,44,nominal,vr0a0xs4k,run_a_map,3.3805595434739564,1.03798629608694,-0.9447606061810042,0.1805081996968307,0.3366849208299683,-3.401851996325588,-0.9799289921148808
M1,45,nominal,x71tw2ykd,run_a_map,-0.8046213463410279,1.0304710997487625,0.187690982356467,1.1406043849241592,0.1752717638248388,-5.412033951369575,-0.8535975792658291
M1,46,nominal,xh8tt6q04,run_a_map,-1.122219495084661,-2.340257491827373,-0.9782335055400696,0.5628930560003306,0.1232645499218704,-5.585200327603677,-1.0445868030839427
M1,47,nominal,xq3i744zg,run_a_map,1.8717140628029416,1.1702453016418704,-1.6340093989512856,0.6183125016895731,0.1010152805453593,-2.941306860119604,-0.8007237374160933
M1,48,nominal,yj444yij9,run_a_map,2.065121792634059,0.203974459805893,-0.5907958668845085,0.6654718803753964,0.2039273832835129,-4.778161617891567,-0.8783753938163666
M1,49,nominal,2rrjzhgj9,run_a_map,0.4521103700704899,0.0723012301566854,-0.3486962228070354,0.8504582948703217,0.0077900569461503,-4.7343784975509875,-1.0589105464183062
M1,50,nominal,3lmzwis6r,run_a_map,1.164381982767911,0.0572089287362911,0.2370445544247464,1.019399091609713,0.3324606527031468,-4.389822647369406,-0.8658783414483303
M1,51,nominal,4f8msviwg,run_a_map,-0.333273063060833,-1.3722748644925606,-0.4949376504269561,0.5541355821838654,0.1921540163795153,-6.620128545846345,-1.3268918497447308
M1,52,nominal,52b64k0rp,run_a_map,2.3025850894122595,2.302585091956681,-2.6354864553871393,0.7052505383744884,0.0017488254506881,-2.633621766155249,-0.7949961148033567
M1,53,nominal,5wlmihb4c,run_a_map,2.0521217007409005,-0.2339256203762255,-0.4260509829256397,0.8056480230729212,-0.1207890649731444,-5.178916283799567,-1.2518622522656837
M1,54,nominal,6owg3par9,run_a_map,0.2256353855884241,-0.0522601205642137,1.212153108478453,0.6818394041668809,0.2440231428138188,-4.9992928300956585,-0.9027158597323208
M1,55,nominal,8py7pm5i0,run_a_map,1.2400661071266124,1.346162819279514,-0.5157809036572176,0.3460721682982509,0.237579419040841,-4.50297060283049,-0.8678393566146735
M1,56,nominal,95vrrzevd,run_a_map,1.011126523687007,-0.9763627005394372,0.8781098961260376,0.7750666930484075,-0.0979999171770704,-5.104395331460236,-1.2231762256950514
